20220821	18:37:17	7b5ad49d-1b74-44cc-bb10-8f480828276a	GET	undefined	/css/style.css
20220821	18:40:19	8c5c1103-6085-42d1-af35-6cc9dfed54bf	POST	undefined	/register
20220821	18:43:02	3ed654f3-1a0a-4b48-a4c7-77413ddc7f03	GET	undefined	/
20220821	18:43:02	9836d06b-38f7-468b-820a-e6a80cca85ce	GET	undefined	/css/style.css
20220821	18:43:10	a666783c-f40a-47ef-ab39-e8738eb867ff	POST	undefined	/register
20220821	18:48:41	f33ccc20-1e10-4b48-811c-514351c1381a	POST	undefined	/register
20220821	18:49:26	3f2a868d-0057-4eca-972c-933bb507eef0	POST	undefined	/register
20220821	18:52:29	87444e14-6112-48ee-ac76-3b563e40c948	POST	undefined	/employees
20220821	18:53:22	2459116a-83ce-4060-b1be-9da0f44423ec	POST	undefined	/employees
20220821	18:53:44	e6a0c11b-6a01-4e6f-835d-b96e7f2ad16c	GET	undefined	/employees
20220821	18:55:10	a3348ee1-2e4d-4b18-8186-f9e18e907713	GET	undefined	/employees
20220821	18:55:46	ee3d4e67-d7e5-4fca-96ce-42381e9a795e	GET	undefined	/employees
20220821	18:55:55	360e50d0-c0e9-4f0d-b11f-d10cdd80c02a	GET	undefined	/employees
20220821	19:00:13	cbdf9a9e-6819-4989-89fa-33246a519aa7	GET	undefined	/employees
20220821	19:00:36	ccd14a1d-af4e-4333-9034-c4a7aa835eca	POST	undefined	/employees
20220821	19:04:57	d4517bdd-c775-4298-b00c-aea313f7a2c9	POST	undefined	/register
20220821	19:14:28	8607c00a-ed2b-49b2-af5e-e646edf6beea	POST	undefined	/auth
20220821	19:14:46	76a49c12-983c-46a9-9cb5-22dcb876c75d	POST	undefined	/auth
20220821	19:15:10	1c952aa3-a709-42d2-bd86-d65ff8946676	POST	undefined	/register
20220821	20:00:16	b3ba79e1-d03f-4f2f-9f70-2b3bc14cd856	POST	undefined	/auth
20220821	20:04:36	d761bfee-d44f-4072-b7eb-7e7dde169833	POST	undefined	/auth
20220821	20:05:11	52608ded-8e79-49ab-9bb5-4f47f1f27307	POST	undefined	/auth
20220821	20:05:29	9eb4e8f3-a863-4293-8b65-bf5385796155	GET	undefined	/employees
20220821	20:05:39	48320757-9b14-4e7b-86ee-f1baab7124af	GET	undefined	/employees
20220821	20:05:41	b69f5e40-cc62-441c-aeb1-bab64b32528b	GET	undefined	/employees
20220821	20:06:08	bbde2af4-37c7-41c2-a12e-0b877105bc27	POST	undefined	/employees
20220821	20:18:16	671f51f1-a4de-4671-8b7f-53bef1956f7d	POST	undefined	/auth
20220821	20:19:01	7e37d4fc-9dd4-4378-b193-168d87b47cc0	POST	undefined	/refresh
20220821	20:19:14	0779cc7f-27f9-40c5-9221-ab7b9cc18292	GET	undefined	/refresh
20220821	20:19:33	e42b5c18-0f65-4666-af2d-1eef9b489744	GET	undefined	/refresh
20220821	20:19:35	6117cbf5-377d-4cba-a582-2e56d17e1f98	GET	undefined	/refresh
20220821	20:31:45	eac5729c-8170-4ccc-b054-54e84243c437	POST	undefined	/auth
20220821	20:32:10	8a6151ca-a7ea-4e76-8485-2f09010cb5eb	GET	undefined	/logout
20220821	20:34:11	1b091283-584b-466b-b0c5-d7fa885062c9	POST	undefined	/auth
20220822	08:33:55	bdcc1e45-9d9d-48f8-96dd-c6918f7ec44f	POST	undefined	/auth
20220822	08:34:41	e2a325e4-2749-4a0a-9557-33bdc2e1975e	POST	undefined	/auth
20220822	08:35:24	70d3ddbc-e901-47e6-ae28-9c16cccf09b8	POST	undefined	/auth
20220822	08:35:52	3f4cbd00-fb87-4799-b98e-a503c83b1506	POST	undefined	/auth
